Program,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Cyborg Dynamics Engineering Pty Ltd,Murarrie,4172.0,,nan,Eye Align Automated Construction Sketcher,Murarrie,4172.0,"Substation 33, 31 Mary St, Kingston Qld 4114",19/08/2019,Brisbane (C),Brisbane And Redlands,Bulimba,90000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Welio Pty Ltd,Taringa,4068.0,,nan,Commercialising Welio For Gp Econsults,Taringa,4068.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Maiwar,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Wrappt Pty Ltd,West End,4101.0,,nan,Vs Video Public Launch,West End,4101.0,,23/07/2018,Brisbane (C),Brisbane And Redlands,South Brisbane,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Abm Technologies Australia Pty Ltd,Brisbane City,4000.0,,nan,International Growth Of Ace-Insights Solution,Toowong,4066.0,"Vancouver, Canada And North America",19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,(Ui!) The Urban Institute Pty Ltd,Sippy Downs,4556.0,,nan,Urbaninsight Smart City Data Platform,Sippy Downs,4556.0,,19/08/2019,Sunshine Coast (R),Sunshine Coast,Buderim,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Visional Technologies Pty Ltd,Taringa,4068.0,,nan,Revolutionalising Ultra-Fast Electric Vehicle (Ev) Charging,Taringa,4068.0,,23/07/2018,Brisbane (C),Brisbane And Redlands,Maiwar,85408.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Travelbybit Pty Ltd,Fortitude Valley,4006.0,,nan,Commercialisation Of Qld'S First Digital Currency Gift Voucher Platform,Sandgate,4017.0,,23/07/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Vygo Pty Ltd,Fortitude Valley,4006.0,,nan,Vygo Commercialisation,Fortitude Valley,4006.0,,23/07/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,99930.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 4,Vostronet (Australia) Pty Ltd,Brisbane City,4000.0,,nan,Commercialisation Of The Q2Tm Software-Defined Network Platform,Brisbane City,4000.0,,23/07/2018,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Alumtek Minerals Pty Ltd,Belmont,4153.0,,nan,Project Reclaim Bauxite Residue Valorisation,Gladstone,4680.0,"Jk Tech 40 Isles Indooroopilli   4068,           Sgs Australia 41 Victoria Malaga Wa 6090",19/08/2019,Brisbane (C),Central Queensland,Chatsworth,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Codestream Solutions Pty Ltd,Fortitude Valley,4006.0,,nan,Floodmapp - Predictive Flood Mapping,Fortitude Valley,4006.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Chromoxyion Pty Ltd,Karana Downs,4306.0,,nan,Sex Selection In Farm Animals,Karana Downs,4306.0,"Gatton, Queensland",19/08/2019,Brisbane (C),Ipswich,Moggill,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Cubiko Pty Ltd,Spring Hill,4000.0,,nan,Commercialisation Of Cubiko Multisite (Cm),Spring Hill,4000.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Core Resources Pty Ltd,Albion,4010.0,,nan,Toowong Process,Albion,4010.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Clayfield,200000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Arthritis Relief Plus Limited,Bundall,4217.0,,nan,Novel Osteoarthritis Drug Us Launch,Bundall,4217.0,"Worongary, Qld; Runaway Bay, Qld; Southport, Qld; Tulsa Ok Usa",19/08/2019,Gold Coast (C),Gold Coast,Southport,200000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Aquafarms Queensland Pty Ltd,Urangan,4655.0,,nan,Scaling To Export,Urangan,4655.0,,19/08/2019,Fraser Coast (R),Wide Bay,Hervey Bay,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Australian Kunzea Pty Ltd,Coolangatta,4225.0,,nan,Accelerate Commercialisation Of Kunzea Products,Coolangatta,4225.0,"Worongary, Queensland; Brisbane, Queensland",19/08/2019,Gold Coast (C),Gold Coast,Currumbin,99928.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Aurtra Pty Ltd,Corinda,4075.0,,nan,Automated Global Provisioning,Corinda,4075.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Mount Ommaney,199456.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Mcgregor Diesel Pty Ltd Atf The S & A Mcgregor Trust,Goondiwindi,4390.0,,nan,Fuelling Innovation In Regional Queensland,Goondiwindi,4390.0,,19/08/2019,Goondiwindi (R),Darling Downs,Southern Downs,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Cybermetrix Pty Ltd,Fortitude Valley,4006.0,,nan,Cyberturity® Pro 3Rd Party Digital Trust Platform,Fortitude Valley,4006.0,,8/05/2020,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Cogniom Pty Ltd,Brisbane City,4000.0,,nan,Cogniom'S Tandm Suite,Brisbane City,4000.0,,8/05/2020,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Health Management Pty Ltd,Westcourt,4870.0,,nan,Sophus Nutrition Commercialisation,Westcourt,4870.0,,8/05/2020,Cairns (R),Far North Queensland,Cairns,200000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Engag3D Pty Ltd,North Lakes,4509.0,,nan,Engag3D Autonomous Marketing Using Smartskills,North Lakes,4509.0,,8/05/2020,Moreton Bay (R),Moreton Bay,Bancroft,150000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Weko Pty Ltd,New Farm,4005.0,,nan,Wekogp (General Practice),New Farm,4005.0,"Brisbane, Queensland",19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Vostronet (Australia) Pty Ltd,Brisbane City,4000.0,,nan,Commercialisation Of Privatemesh Vlan Technology,Brisbane City,4000.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,200000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Bankedge Pty Ltd,Kalinga,4030.0,,nan,Bank Margin Reviews As A Service,Kalinga,4030.0,,8/05/2020,Brisbane (C),Brisbane And Redlands,Clayfield,80000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Yodal Pty Ltd,Newstead,4006.0,,nan,Yodal Scale,Newstead,4006.0,"Cairns, Qld, Townsville Qld, Rockhampton Qld, Mackay Qld, Gympie Qld",19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,90000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Heartbeat Enterprises Pty Ltd,Augustine Heights,4300.0,,nan,Commercialisation Of Squizify Food Safety Technology Platform,Augustine Heights,4300.0,,8/05/2020,Ipswich (C),Ipswich,Jordan,90000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Workguru Pty Ltd,Greenslopes,4007.0,,nan,Enabling Qld Manufacturing With Workguru.Io,Tarragindi,4121.0,,8/05/2020,Brisbane (C),Brisbane And Redlands,Greenslopes,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,The Trustee For The Ride Free Media Trust T/A Ride Free Media,West End,4101.0,,nan,Wrappt National Expansion,West End,4101.0,,8/05/2020,Brisbane (C),Brisbane And Redlands,South Brisbane,200000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Amtac Professional Services Pty Ltd,Greenbank,4124.0,,nan,Backflowid,Greenbank,4124.0,,2/12/2020,Logan (C),Logan,Logan,99603.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Yodel Digital Pty Ltd,Yarrabilba,4207.0,,nan,Yodel Commercialisation Project,Yarrabilba,4207.0,,8/05/2020,Logan (C),Logan,Logan,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Shop Ferret Pty Ltd,Bungalow,4870.0,,nan,Qld Tourism Boost With Chat2Concierge!,Bungalow,4870.0,,8/05/2020,Cairns (R),Far North Queensland,Cairns,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Next World Enterprises Pty Ltd,Morningside,4170.0,,nan,Build Your Own Vr Induction,Morningside,4170.0,,8/05/2020,Brisbane (C),Brisbane And Redlands,Bulimba,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Sonder Place Pty Ltd,Teneriffe,4005.0,,nan,Waste To Workwear Beautex Launch,Teneriffe,4005.0,,8/05/2020,Brisbane (C),Brisbane And Redlands,Mcconnel,50000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2019-20 Round 6,Skynet Satellite Communications Pty Ltd,Newmarket,4051.0,,nan,Skynet Commercial Ads-B,Newmarket,4051.0,,8/05/2020,Brisbane (C),Brisbane And Redlands,Stafford,104000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Vorteil.Io Pty Ltd,Varsity Lakes,4227.0,,nan,Vorteil - A Cloud Operating System,Varsity Lakes,4227.0,,19/08/2019,Gold Coast (C),Gold Coast,Mermaid Beach,200000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Orefox Pty Ltd,Brisbane City,4000.0,,nan,Orefox Scale And Acquisition,Brisbane City,4000.0,"Brisbane City, Qld; Fortitude Valley, Qld; Warwick, Qld; Charters Towers, Qld; Gympie, Qld; Kilkivan, Qld; Rockhampton, Qld",19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Norbit Software Pty Ltd,Stones Corner,4120.0,,nan,Saas Loyalty Solution For Precincts,Stones Corner,4120.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Greenslopes,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Q L Spacer Blocks Pty Ltd,Ipswich,4305.0,,nan,Q L Medical,Ipswich,4305.0,,19/08/2019,Ipswich (C),Ipswich,Ipswich,200000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Physiotherapy Innovations Pty Ltd,Cornubia,4130.0,,nan,International Commercialisation Of Therabubble,Cornubia,4130.0,,19/08/2019,Logan (C),Logan,Macalister,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Nethealth Pty Ltd,Sippy Downs,4556.0,,nan,Commercialisation Of Net-Healthdata In Australia,Sippy Downs,4556.0,"Eagle Farm, Queensland; Sunshine Coast, Queensland",19/08/2019,Sunshine Coast (R),Sunshine Coast,Buderim,99500.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Micromelon Pty Ltd,Albany Creek,4035.0,,nan,Micromelon Robotics,Albany Creek,4035.0,"Darra, Queensland",19/08/2019,Moreton Bay (R),Moreton Bay,Everton,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Noisenet Operations Pty Ltd,Balmoral,4171.0,,nan,Smart Noise Monitoring Global Rollout,Balmoral,4171.0,"Brisbane, Qld     Scottsdale, Arizona",19/08/2019,Brisbane (C),Brisbane And Redlands,Bulimba,50000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Nexusmyst Pty Ltd,Brendale,4500.0,,nan,Commercialising Nexusmyst For Law Enforcement,Brendale,4500.0,Ferny Grove Qld,19/08/2019,Moreton Bay (R),Moreton Bay,Pine Rivers,90000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Rapidaim Pty Ltd,Highgate Hill,4101.0,,nan,Commercialising Rapidaim Real-Time Insect Monitoring,Fortitude Valley,4006.0,"'Bundaberg, Qld'; 'Stanthorpe, Qld'; 'Yarra Valley, Vic'; 'Shepparton, Vic'",19/08/2019,Brisbane (C),Brisbane And Redlands,South Brisbane,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Swift Performance Pty Ltd,Wacol,4076.0,,nan,Athletic Movement Monitoring,Wacol,4076.0,"Banyo Qld, Rosedale Nz",19/08/2019,Brisbane (C),Ipswich,Inala,200000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Sportech Industries Pty Ltd,Wavell Heights,4012.0,,nan,Mycall No Ball Detector (Mycall),Fortitude Valley,4006.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Unified Ar System Pty Ltd,Newstead,4006.0,,nan,Unifiedar - Distribution Commercialisation Project,Newstead,4006.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Talkvia Enterprise Pty Ltd,Newstead,4006.0,,nan,Automating Voice Access To Services,Newstead,4006.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,199999.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Sensor Bridge Technologies Pty Ltd,Bargara,4670.0,,nan,Smart Irrigation System,Bundaberg Central,4670.0,,19/08/2019,Bundaberg (R),Wide Bay,Burnett,99462.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Rr Tek Pty Ltd,Oxenford,4210.0,,nan,Adding Value To Waste-Water Treatment,Oxenford,4210.0,Will Need To Rent Space For Assembly Of Pilot - Proposed Site Available,19/08/2019,Gold Coast (C),Gold Coast,Theodore,95000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Sitesee Pty Ltd,Fortitude Valley,4006.0,,nan,Ai Infrastructure Analysis,Fortitude Valley,4006.0,,19/08/2019,Brisbane (C),Brisbane And Redlands,Mcconnel,160000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Simpori Pty Ltd,Caloundra West,4551.0,,nan,Innovative Sanitation Of Poultry Sheds,Caloundra West,4551.0,"Beerwah, Qld; Sydney, Nsw; Overseas",19/08/2019,Sunshine Coast (R),Sunshine Coast,Kawana,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Eidsvold Siltstone Pty Ltd,Eidsvold,4627.0,,nan,Eidsvold Siltstone Metakaolin Project,Eidsvold,4627.0,,9/03/2017,North Burnett (R),Wide Bay,Callide,56400.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Emclarity Pty Ltd,Tennyson,4105.0,,nan,Usa Exomux Customer Trials,Tennyson,4105.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Miller,208000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Eftlab Pty Ltd,Sandgate,4017.0,,nan,Babylon Payment Switch - Flexible And Secure Payment Gateway For The Electronic Payments Industry,Sandgate,4017.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Sandgate,249150.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Darling Downs Ice Cream Company Pty Ltd,Toowoomba West,4350.0,,nan,"Development And Export Of Innovative, Functional Ice Cream Products",Wilsonton,4350.0,,9/03/2017,Toowoomba (R),Darling Downs,Toowoomba North,50000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Desygner Pty Ltd,Surfers Paradise,4217.0,,nan,Desygner Branding - A Branded User-Generated Enterprise Marketing Solution,Southport,4215.0,,9/03/2017,Gold Coast (C),Gold Coast,Surfers Paradise,96000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Eng Access Pty Ltd,Dayboro,4521.0,,nan,Eng Access: Professional Engineering On Demand.,Dayboro,4521.0,,9/03/2017,Moreton Bay (R),Moreton Bay,Pine Rivers,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Gpsi Group Pty Ltd,Brisbane City,4000.0,,nan,Target Zero - Zero Vehicle Accidents And Injuries,Newstead,4006.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Gyuto Pty Ltd,New Farm,4005.0,,nan,Hay Guard - A Novel System To Guard Against Internal Combustion Of Hay,New Farm,4005.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,Mcconnel,49140.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Fx2School Pty Ltd,Brisbane City,4000.0,,nan,Fx2School Version 2,Brisbane City,4000.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,Mcconnel,99245.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Evolving Machine Intelligence Pty Ltd,Indooroopilly,4068.0,,nan,Reconstruction Of Reduced-Complexity Mathematical Dynamics Of Aviation Turbine Engines,Brisbane City,4000.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Maiwar,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Fathom Applications Pty Ltd,Albany Creek,4035.0,,nan,'Accelerate' Reporting,Albany Creek,4035.0,,10/03/2017,Moreton Bay (R),Moreton Bay,Everton,250000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Blue Electronics Pty Ltd,Massie,4370.0,,nan,Patented Blue Precision Locator System,Ipswich,4305.0,,10/03/2017,Southern Downs (R),Ipswich,Southern Downs,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Blue Squirrel Financial Services Pty Ltd,Bardon,4065.0,,nan,Squirrel Biz  Developing A B2B Proposition For Squirrel App Customers,Bardon,4065.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Maiwar,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Blast Movement Technologies Pty Ltd,Seventeen Mile Rocks,4073.0,,nan,Field Testing And Marketing Of A High Precision Gps Detector,Seventeen Mile Rocks,4073.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,Mount Ommaney,94961.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Bioq Devices Pty Ltd,Toowong,4066.0,,nan,An Advanced Low Cost Minimally Invasive Cardiac Assist Device,Toowong,4066.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,Maiwar,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Bivacor Pty Ltd,Wilston,4051.0,,nan,Development Of A Wearable Patient Controller For Pulsatile Operation Of A Rotary Total Artificial Heart In Women And Children,Wilston,4051.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Stafford,250000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Boardcave.Com Pty Ltd,Burleigh Heads,4220.0,,nan,Cavewire® - Driving Brick And Mortar Retail Sales,Burleigh Heads,4220.0,,9/03/2017,Gold Coast (C),Gold Coast,Burleigh,240000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Connected Sports Technologies Pty Ltd,West End,4101.0,,nan,Smax Bat-Swing Analyser,West End,4101.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,South Brisbane,99500.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Cyclevision Pty Ltd,Cairns,4870.0,,nan,Cyclevision Advanced Concept Bicycle Helmets,Cairns City,4870.0,,9/03/2017,Cairns (R),Far North Queensland,Cairns,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Cobalt Extreme Pty Ltd,East Brisbane,4169.0,,nan,The Cobaltspiral System,East Brisbane,4169.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,South Brisbane,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Cellarouge Pty Ltd,Jollys Lookout,4520.0,,nan,Queensland Grown Aged Green Tea - No Pain - First Cup - 15 Minutes,Jollys Lookout,4520.0,,9/03/2017,Moreton Bay (R),Moreton Bay,Pine Rivers,79600.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Cleantech U.V. International Pty Ltd,Varsity Lakes,4227.0,,nan,"Development Of A Uv Disinfection Device To Be Used In The Medical Industry, To Combat Secondary Infections In Hospitals And Aged Care Facilities.",Varsity Lakes,4227.0,,10/03/2017,Gold Coast (C),Gold Coast,Burleigh,85000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Heluva Pty Ltd,West End,4101.0,,nan,Ellaspede - Motorcycle Kits,West End,4101.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,South Brisbane,99600.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Power Iq Pty Ltd,Meadowbrook,4131.0,,nan,Commercialisation And Launch Of Super-Efficient Battery Inverter,Capalaba,4157.0,,9/03/2017,Logan (C),Brisbane And Redlands,Waterford,250000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Premier Rock Machinery Pty Ltd,Willawong,4110.0,,nan,Sentinel - Hazardous Zone Monitoring System Project,Willawong,4110.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Algester,99700.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Point Duty Pty Ltd,Sippy Downs,4556.0,,nan,Point Duty Intelligence Data Capture System,Sippy Downs,4556.0,,9/03/2017,Sunshine Coast (R),Sunshine Coast,Buderim,250000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Nexgen Plants Pty Ltd,St Lucia,4067.0,,nan,Virus Resistance Driving Food Security,St Lucia,4067.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,Maiwar,222900.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Next Generation Mobility Pty Ltd,Tugun,4224.0,,nan,The Future Of Power Wheelchairs,Tugun,4224.0,,9/03/2017,Gold Coast (C),Gold Coast,Currumbin,84518.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Q G E Pty Ltd,South Brisbane,4101.0,,nan,Ex-Online,South Brisbane,4000.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,South Brisbane,247228.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Sisa-Tech Pty Ltd,Palm Beach,4221.0,,nan,Beta Test Of Vorteil - A New Data Centre And Cloud Operating System,Palm Beach,4221.0,,9/03/2017,Gold Coast (C),Gold Coast,Burleigh,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Site Diary Pty Ltd,Wakerley,4154.0,,nan,Site Diary,Wakerley,4154.0,,10/03/2017,Brisbane (C),Brisbane And Redlands,Chatsworth,88500.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Sales Miner Pty Ltd,Newstead,4006.0,,nan,Market Segmentation Analytical And Visualisation Engine,Newstead,4006.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Q-Cool Pty Ltd,Coorparoo,4151.0,,nan,"Thermosphere, A Smart, Zone-Able, Modular, Concealed And Highly Energy Efficient Airconditioner",Coorparoo,4151.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Greenslopes,245343.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Safecam Technologies Pty Ltd,Yatala,4207.0,,nan,Safestruct: Roadwork Safety Based Speed Enforcement Using 24/7 Unmanned Fully Autonomous And Automated System,Yatala,4207.0,,9/03/2017,Gold Coast (C),Gold Coast,Coomera,100000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Ir4 Pty Ltd,Yatala,4207.0,,nan,Development Of Uv Cured Paint Technology Utilising Uv Led Lights On Fabricated Structural Steel,Yatala,4207.0,,9/03/2017,Gold Coast (C),Gold Coast,Coomera,187500.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Ivvy Pty Ltd,Varsity Lakes,4227.0,,nan,Ivvy Supplier Management Solution,Varsity Lakes,4227.0,,10/03/2017,Gold Coast (C),Gold Coast,Mermaid Beach,250000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Inline Orthopaedics Pty Ltd (In Liquidation),Samford Village,4520.0,,nan,Hospital Audit Trials Of A Computerised Surgical Assistance System For Total Hip Replacement Surgery.,Samford Village,4520.0,,9/03/2017,Moreton Bay (R),Moreton Bay,Pine Rivers,62500.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Huds And Toke Pty Ltd,Coolum Beach,4573.0,,nan,Huds And Toke Pty Ltd International Digital Expansion Project,Warana,4575.0,,9/03/2017,Sunshine Coast (R),Sunshine Coast,Kawana,88975.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Immersaview Pty Ltd,Banyo,4014.0,,nan,"A Cloud Based, Video Streaming Software As A Service",Banyo,4014.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Nudgee,250000.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Kfsu Ltd,Ayr,4807.0,,nan,Phytocel An Innovative Functional Fibre From Sugarcane That Improves Cost And Claims In Manufactured Goods,Ayr,4807.0,,9/03/2017,Burdekin (S),Townsville,Burdekin,71600.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Motor Cycle Innovation Pty Ltd,Ashgrove,4060.0,,nan,Motoinno Ts3 - Triangulated Steering And Suspension System For Motorcycles,Ashgrove,4060.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Cooper,187500.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Myoni Group Pty Ltd,Clontarf,4019.0,,nan,Myoni Cup: The Clever Companion For Smooth Periods,Clontarf,4019.0,,9/03/2017,Moreton Bay (R),Moreton Bay,Redcliffe,97593.0
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Micare Global Pty Ltd,Brisbane City,4000.0,,nan,Mied Enterprise Management Solution,Brisbane City,4000.0,,9/03/2017,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
